V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124.9,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,120.5,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,1260773.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,121.7,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,121.7,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,1260773.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124.9,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,120.5,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,120.5,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,1260773.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,121.7,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124.9,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124.9,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,1260773.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2011,74553,124,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Distillate Fuel Oil No. 2,,,2011,Nitrous Oxide,0.041
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,2.1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.041
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.041
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,2.1,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.29
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.1,Distillate Fuel Oil No. 2,,,2011,Methane,0.29
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Distillate Fuel Oil No. 2,,,2011,Carbon Dioxide,11960.6
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.1,Distillate Fuel Oil No. 2,,,2011,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,11960.6
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,2.1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,11960.6
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Distillate Fuel Oil No. 2,,,2011,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.1,Distillate Fuel Oil No. 2,,,2011,Carbon Dioxide,11960.6
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.1,Distillate Fuel Oil No. 2,,,2011,Nitrous Oxide,0.041
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.29
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,1.4,Distillate Fuel Oil No. 2,,,2011,Methane,0.29
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2011,80828,2.1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
