V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,3,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.14
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,7765.1
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,179.1,Subbituminous,,,2012,Methane,8.53
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,179.1,Subbituminous,,,2012,Biogenic Carbon dioxide,0
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,179.1,Subbituminous,,,2012,Nitrous Oxide,13.656
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,179.1,Subbituminous,,,2012,Carbon Dioxide,812053
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,0.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,0.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,0.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,0.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,1.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,200.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,243.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,200.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,198.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,200.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,198.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,198.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,200.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,243.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,243.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,198.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,243.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6641.2
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.013
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,163.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,166.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,166.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
